2026-07-01 09:08:30.251 | INFO     | stock_bot.live.runner:_is_trading_day:478 - 거래일 판정 2026-07-01 → 거래일 (출처: exchange_calendars)
2026-07-01 09:30:16.214 | INFO     | stock_bot.live.leader_runner:_leader_pick_tick:79 - leader pick [09:28] 선별 완료 — 오늘 스케줄 종료 (exit=0) 　　GS건설(+18.9%), LS ELECTRIC(+10.1%), 대한전선(+8.4%), 대우건설(+7.5%)
2026-07-01 17:01:45.692 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 17:01:47.361 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 17:01:47.366 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 17:01:47.369 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 19:28:47.277 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 19:28:48.703 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 19:28:48.707 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 19:28:48.710 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 20:56:52.365 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 20:56:53.640 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 20:56:53.647 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 20:56:53.649 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 21:09:17.064 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 21:09:18.264 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 21:09:18.267 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 21:09:18.269 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 21:17:34.043 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 21:17:35.796 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 21:17:35.800 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 21:17:35.803 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 21:36:42.193 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 21:36:43.450 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 21:36:43.453 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 21:36:43.455 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 21:41:41.344 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 21:41:42.577 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 21:41:42.580 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 21:41:42.583 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 22:17:37.884 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 22:17:39.062 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 22:17:39.069 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 22:17:39.074 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 22:28:13.978 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 22:28:15.167 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 22:28:15.185 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 22:28:15.188 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 22:51:41.632 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 22:51:42.803 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 22:51:42.807 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 22:51:42.809 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 23:42:19.401 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 23:42:20.720 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 23:42:20.723 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 23:42:20.727 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-07-01 23:54:43.162 | INFO     | stock_bot.live.runner:_start_env_watcher:1476 - env watcher started (1s poll, scope=대장주봇)
2026-07-01 23:54:44.308 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-07-01 23:54:44.312 | INFO     | stock_bot.live.leader_runner:run_leader:100 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-07-01 23:54:44.314 | INFO     | stock_bot.live.leader_runner:run_leader:123 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
