2026-08-05 11:45:07.199 | INFO     | stock_bot.live.leader_trader:_scan_entries:482 - leader_trader: 218410 RFHIC 미진입 — VWAP 터치 53,600≤53,848 확정, 되받음 미충족 (종가 53,700 < VWAP 53,848) — 다음 봉 재평가
2026-08-05 11:45:34.581 | INFO     | stock_bot.live.leader_runner:_leader_reval_tick:179 - leader reval [11:43] 재선별 완료(exit=0) | 상위: 5G(5세대 이동통신)/대한광통신 +22.1% (상승5) · 태양광에너지/한화솔루션 +14.9% (상승3) · 전기차/성호전자 +15.3% (상승3)
2026-08-05 11:54:01.127 | INFO     | stock_bot.live.leader_trader:_scan_entries:482 - leader_trader: 218410 RFHIC 미진입 — VWAP 터치 53,700≤53,848 확정, 되받음 미충족 (종가 53,800 < VWAP 53,848) — 다음 봉 재평가
2026-08-05 12:15:19.385 | INFO     | stock_bot.live.leader_runner:_leader_reval_tick:179 - leader reval [12:13] 재선별 완료(exit=0) | 상위: 5G(5세대 이동통신)/대한광통신 +21.5% (상승5) · 태양광에너지/한화솔루션 +16.4% (상승3) · 전기차/성호전자 +15.8% (상승3)
2026-08-05 12:18:01.131 | INFO     | stock_bot.live.leader_trader:_scan_entries:482 - leader_trader: 218410 RFHIC 미진입 — VWAP 터치 53,700≤53,843 확정, 되받음 미충족 (종가 53,800 < VWAP 53,843) — 다음 봉 재평가
2026-08-05 12:48:21.158 | INFO     | stock_bot.live.leader_runner:_leader_reval_tick:179 - leader reval [12:43] 재선별 완료(exit=0) | 상위: LED/광전자 +24.7% (상승3) · 5G(5세대 이동통신)/대한광통신 +20.2% (상승6) · 반도체 기판(FC-BGA/PCB/MLB 등)/LG이노텍 +14.7% (상승3)
2026-08-05 12:49:00.011 | INFO     | stock_bot.live.leader_trader:_maybe_switch:312 - leader_trader: 섹터 추가 불가 — 감시 3개 포화, 'LED' 점수 0.0000 ≤ 최약 '방위산업/전쟁 및 테러' 0.0000×(1+10%)
2026-08-05 12:56:00.819 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_switch_enabled: True → False
2026-08-05 17:19:04.497 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_sel_hot_min: 3 → 7
2026-08-05 17:19:16.574 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_sel_rise_min: 3.0 → 7.0; leader_sel_hot_min: 7 → 3
2026-08-05 18:28:46.235 | INFO     | stock_bot.live.runner:_start_env_watcher:1571 - env watcher started (1s poll, scope=대장주봇)
2026-08-05 18:28:47.598 | INFO     | stock_bot.live.leader_runner:run_leader:69 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-05 18:28:47.601 | INFO     | stock_bot.live.leader_runner:run_leader:124 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-05 18:28:47.604 | INFO     | stock_bot.live.leader_runner:run_leader:195 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-05 18:28:47.608 | INFO     | stock_bot.live.leader_runner:run_leader:219 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-05 18:30:24.499 | INFO     | stock_bot.live.runner:_start_env_watcher:1571 - env watcher started (1s poll, scope=대장주봇)
2026-08-05 18:30:26.163 | INFO     | stock_bot.live.leader_runner:run_leader:69 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-05 18:30:26.172 | INFO     | stock_bot.live.leader_runner:run_leader:124 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-05 18:30:26.176 | INFO     | stock_bot.live.leader_runner:run_leader:195 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-05 18:30:26.179 | INFO     | stock_bot.live.leader_runner:run_leader:219 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-05 18:32:43.772 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_budget_krw: 5000000.0 → 500000000.0
2026-08-05 18:34:03.906 | INFO     | stock_bot.live.runner:_reload_env_if_changed:459 - .env 변경 감지, 핫리로드[대장주봇]: leader_budget_krw: 500000000.0 → 50000000.0
