2026-08-02 17:01:28.719 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-02 17:01:28.721 | INFO     | stock_bot.live.leader_runner:run_leader:104 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-02 17:01:28.723 | INFO     | stock_bot.live.leader_runner:run_leader:152 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-02 17:01:28.726 | INFO     | stock_bot.live.leader_runner:run_leader:176 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-02 20:24:45.870 | INFO     | stock_bot.live.runner:_start_env_watcher:1560 - env watcher started (1s poll, scope=대장주봇)
2026-08-02 20:24:46.958 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-02 20:24:46.961 | INFO     | stock_bot.live.leader_runner:run_leader:104 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-02 20:24:46.963 | INFO     | stock_bot.live.leader_runner:run_leader:152 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-02 20:24:46.965 | INFO     | stock_bot.live.leader_runner:run_leader:176 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-02 20:48:05.525 | INFO     | stock_bot.live.runner:_start_env_watcher:1560 - env watcher started (1s poll, scope=대장주봇)
2026-08-02 20:48:09.048 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-02 20:48:09.053 | INFO     | stock_bot.live.leader_runner:run_leader:104 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-02 20:48:09.055 | INFO     | stock_bot.live.leader_runner:run_leader:152 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-02 20:48:09.057 | INFO     | stock_bot.live.leader_runner:run_leader:176 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-02 21:22:14.841 | INFO     | stock_bot.live.runner:_start_env_watcher:1560 - env watcher started (1s poll, scope=대장주봇)
2026-08-02 21:22:15.833 | INFO     | stock_bot.live.leader_runner:run_leader:49 - leader runner started (trade_enabled=False, budget=5,000,000)
2026-08-02 21:22:15.836 | INFO     | stock_bot.live.leader_runner:run_leader:104 - leader pick scheduled: mon-fri 9:28:30 → 10min retry until 13:00 (theme mode)
2026-08-02 21:22:15.839 | INFO     | stock_bot.live.leader_runner:run_leader:152 - leader reval scheduled: mon-fri 9-13 every minute (gated by switch toggle+interval)
2026-08-02 21:22:15.841 | INFO     | stock_bot.live.leader_runner:run_leader:176 - leader trade scheduled: mon-fri 9-15 every minute (enabled=False)
2026-08-02 21:27:49.054 | INFO     | stock_bot.live.runner:_reload_env_if_changed:448 - .env 변경 감지, 핫리로드[대장주봇]: leader_anchor: off → vwap; leader_switch_enabled: False → True
